,FirstName,LastName,State,Party,Cluster,VotesWParty,VotesWCluster
N00000078,Carolyn,Maloney,NY,D,1.0,0.921475123192,0.920669970213
N00000153,Richard,Neal,MA,D,4.0,0.930531538208,0.237724848119
N00000179,Jim,McGovern,MA,D,1.0,0.934553872054,0.938389785537
N00000267,Michael,Capuano,MA,D,1.0,0.919589920949,0.922005379886
N00000270,Edward,Markey,MA,D,2.0,0.910509075773,0.837296632101
N00000362,Jack,Reed,RI,D,1.0,0.965018006768,0.98194798849
N00000491,Susan,Collins,ME,R,0.0,0.752167146244,0.862189405867
N00000515,Peter,Welch,VT,D,1.0,0.926408101465,0.928635729551
N00000528,Bernard,Sanders,VT,I,2.0,0.535208208915,0.481287438696
N00000575,John,Larson,CT,D,1.0,0.923000384278,0.923805537257
N00000615,Rosa,DeLauro,CT,D,1.0,0.933414763578,0.934835218123
N00000684,Rodney,Frelinghuysen,NJ,R,4.0,0.926175248865,0.926980401845
N00000699,Robert,Menendez,NJ,D,2.0,0.910744340084,0.861601245091
N00000743,Scott,Garrett,NJ,R,4.0,0.902024090543,0.902829243522
N00000751,Bill,Pascrell Jr.,NJ,D,1.0,0.931807888669,0.931192587103
N00000781,Frank,Pallone,NJ,D,2.0,0.940995095886,0.574610461499
N00000851,Frank,LoBiondo,NJ,R,0.0,0.845814348192,0.848845108696
N00000898,Leonard,Lance,NJ,R,4.0,0.914526835383,0.915331988362
N00000939,Jerrold,Nadler,NY,D,1.0,0.892569094566,0.892569094566
N00000964,Charles,Rangel,NY,D,1.0,0.930331805962,0.932747264899
N00001003,Eliot,Engel,NY,D,1.0,0.900458211524,0.89822244338
N00001024,Nita,Lowey,NY,D,1.0,0.962171632353,0.959756173415
N00001093,Charles,Schumer,NY,D,0.0,0.96389597698,0.544682121722
N00001102,Nydia,Velazquez,NY,D,1.0,0.94794841492,0.951794489022
N00001127,Joseph,Crowley,NY,D,4.0,0.944102340818,0.24505677538
N00001171,Gregory,Meeks,NY,D,4.0,0.841170616409,0.221541470562
N00001193,Peter,King,NY,R,1.0,0.902073268921,0.320023148148
N00001285,Chris,Collins,NY,R,4.0,0.931241765481,0.929016157956
N00001311,Louise,Slaughter,NY,D,1.0,0.935742158908,0.939578072391
N00001373,Mike,Doyle,PA,D,1.0,0.921769781145,0.921154479578
N00001489,Patrick,Toomey,PA,R,0.0,0.831161662776,0.750104059214
N00001619,Robert,Brady,PA,D,0.0,0.91381660811,0.235404314888
N00001633,Joe,Pitts,PA,R,4.0,0.941184947299,0.941800248865
N00001692,Eleanor,Norton,DC,D,1.0,,
N00001746,Chaka,Fattah,PA,D,1.0,0.640579178886,0.641999633431
N00001758,Charles,Grassley,IA,R,0.0,0.922896646579,0.853104584035
N00001811,Lamar,Smith,TX,R,4.0,0.956103151076,0.955297998097
N00001813,Jos’©,Serrano,NY,D,1.0,0.966897233202,0.967512534768
N00001821,Steny,Hoyer,MD,D,4.0,0.926456594935,0.249327514273
N00001945,Barbara,Mikulski,MD,D,0.0,0.904609370758,0.533887109326
N00001955,Benjamin,Cardin,MD,D,0.0,0.969795681995,0.561376839134
N00001971,Elijah,Cummings,MD,D,1.0,0.949046625677,0.950656931635
N00002097,Mark,Warner,VA,D,0.0,0.836292234468,0.576777602838
N00002147,Robert,Scott,VA,D,1.0,0.97111284951,0.970307696531
N00002221,Richard,Burr,NC,R,0.0,0.917114573719,0.878766491123
N00002260,David,Price,NC,D,1.0,0.945316025408,0.94290056647
N00002299,Walter,Jones,NC,R,2.0,0.678320798565,0.572996724491
N00002408,James,Clyburn,SC,D,1.0,0.902829243522,0.903634396501
N00002424,Mark,Sanford,SC,R,3.0,0.832031821842,0.808165440638
N00002593,Johnny,Isakson,GA,R,0.0,0.919711529761,0.872513889643
N00002674,Sanford,Bishop Jr.,GA,D,1.0,0.86697706229,0.86617190931
N00002713,Corrine,Brown,FL,D,1.0,0.818425422705,0.818425422705
N00002793,John,Mica,FL,R,4.0,0.955818373957,0.953592766432
N00002858,Ileana,Ros-Lehtinen,FL,R,0.0,0.828856957254,0.831887717757
N00002884,Alcee,Hastings,FL,D,1.0,0.799340780998,0.799340780998
N00002893,Lois,Frankel,FL,D,1.0,0.958894881789,0.956479422852
N00003028,Robert,Aderholt,AL,R,4.0,0.936118430684,0.933892823159
N00003062,Jeff,Sessions,AL,R,4.0,0.844200734749,0.0
N00003105,Marsha,Blackburn,TN,R,4.0,0.938249112502,0.939054265481
N00003132,Jim,Cooper,TN,D,4.0,0.854948945982,0.3673373225
N00003209,John,Duncan Jr.,TN,R,4.0,0.871621559801,0.87242671278
N00003225,Steve,Cohen,TN,D,1.0,0.921056122822,0.921861275801
N00003280,Roger,Wicker,MS,R,0.0,0.912101634182,0.843549233581
N00003288,Bennie,Thompson,MS,D,1.0,0.918693273313,0.919498426292
N00003328,Thad,Cochran,MS,R,2.0,0.882132580488,0.54763197423
N00003389,Mitch,McConnell,KY,R,2.0,0.876468139783,0.570226396656
N00003467,Edward,Whitfield,KY,R,4.0,0.840559188584,0.840186952068
N00003473,Harold,Rogers,KY,R,4.0,0.93881866674,0.938203365173
N00003522,Marcy,Kaptur,OH,D,1.0,0.925890471746,0.924375091495
N00003535,Sherrod,Brown,OH,D,2.0,0.913458928281,0.858769024739
N00003675,John,Boehner,OH,R,0.0,0.0241379310345,0.0241379310345
N00003682,Rob,Portman,OH,R,0.0,0.831044030621,0.864551097598
N00003689,Steven,Chabot,OH,R,4.0,0.97551831723,0.976323470209
N00003813,Peter,Visclosky,IN,D,1.0,0.939388220978,0.940003522544
N00003845,Daniel,Coats,IN,R,0.0,0.883725138896,0.823787031507
N00003950,Sander,Levin,MI,D,1.0,0.960128915971,0.96093406895
N00004029,John,Conyers Jr.,MI,D,1.0,0.912111376446,0.91433698397
N00004118,Debbie,Stabenow,MI,D,2.0,0.922896646579,0.915992543931
N00004133,Fred,Upton,MI,R,2.0,0.926885476138,0.698108805446
N00004291,F.,Sensenbrenner,WI,R,4.0,0.916752442907,0.915947289928
N00004357,Paul,Ryan,WI,R,4.0,0.398912128532,0.398912128532
N00004367,Tammy,Baldwin,WI,D,2.0,0.937763541271,0.910210471072
N00004403,Ron,Kind,WI,D,4.0,0.8682568438,0.274614350022
N00004436,John,Kline,MN,R,4.0,0.954633518153,0.953828365173
N00004558,Collin,Peterson,MN,D,2.0,0.639149648661,0.773642219294
N00004572,John,Thune,SD,R,0.0,0.929266880214,0.858533760429
N00004614,Kevin,Cramer,ND,R,0.0,0.932852071439,0.937303286488
N00004719,Peter,Roskam,IL,R,4.0,0.894401441956,0.893596288977
N00004724,Jan,Schakowsky,IL,D,1.0,0.922146052921,0.920725598375
N00004874,Luis,Gutierrez,IL,D,1.0,0.809631642512,0.81124194847
N00004884,Danny,Davis,IL,D,1.0,0.929582281145,0.929582281145
N00004887,Bobby,Rush,IL,D,1.0,0.716708525472,0.717513678451
N00004961,John,Shimkus,IL,R,4.0,0.942749505929,0.94194435295
N00004981,Richard,Durbin,IL,D,2.0,0.934696056608,0.877707801726
N00005195,Roy,Blunt,MO,R,0.0,0.875110845685,0.820303309988
N00005282,Jerry,Moran,KS,R,0.0,0.862189405867,0.785438948911
N00005285,Pat,Roberts,KS,R,2.0,0.919946794071,0.475071031724
N00005293,Brad,Ashford,NE,D,2.0,0.777052682623,0.718522407041
N00005559,Frank,Lucas,OK,R,4.0,0.962544374909,0.961929073342
N00005582,James,Inhofe,OK,R,4.0,0.904491738603,0.0
N00005656,Joe,Barton,TX,R,4.0,0.936972762041,0.934747154516
N00005681,Pete,Sessions,TX,R,0.0,0.96069503916,0.951602757649
N00005736,Brian,Babin,TX,R,2.0,0.9341284219,0.611921982506
N00005818,Sheila,Jackson-Lee,TX,D,1.0,0.837618714317,0.837713640023
N00005870,Gene,Green,TX,D,1.0,0.844485388303,0.845290541282
N00005883,Kevin,Brady,TX,R,4.0,0.932662220026,0.934887827551
N00006008,Rub’©n,Hinojosa,TX,D,1.0,0.736661222735,0.735856069756
N00006023,Lloyd,Doggett,TX,D,1.0,0.953497840726,0.954492845118
N00006052,William,Thornberry,TX,R,4.0,0.960505187747,0.959700034768
N00006134,Diana,DeGette,CO,D,1.0,0.963346096838,0.962540943859
N00006236,John,Barrasso,WY,R,0.0,0.935048953074,0.834346779594
N00006249,Michael,Enzi,WY,R,4.0,0.897705268111,0.0
N00006263,Mike,Simpson,ID,R,2.0,0.907941507466,0.676418853389
N00006267,Michael,Crapo,ID,R,0.0,0.879770888756,0.770454422064
N00006423,Trent,Franks,AZ,R,4.0,0.925180244474,0.926600699019
N00006424,John,McCain,AZ,R,0.0,0.879770888756,0.852398791103
N00006446,Matt,Salmon,AZ,R,0.0,0.914333552921,0.916559160445
N00006460,David,Schweikert,AZ,R,4.0,0.928685633509,0.929490786488
N00006561,Tom,Udall,NM,D,1.0,0.948793817978,0.968438387897
N00006671,Lucille,Roybal-Allard,CA,D,1.0,0.955108146684,0.955913299663
N00006690,Maxine,Waters,CA,D,1.0,0.887439613527,0.888244766506
N00006692,Barbara,Boxer,CA,D,0.0,0.792641656261,0.416788823136
N00006700,Dwight,Evans,PA,D,,0.957446808511,
N00006701,Mark,Takano,CA,D,1.0,0.968982167691,0.968366866125
N00006789,Grace,Napolitano,CA,D,1.0,0.93152311155,0.928492351047
N00006806,Janice,Hahn,CA,D,1.0,0.940295852937,0.940881582941
N00006863,Tom,McClintock,CA,R,0.0,0.920729029425,0.927690629117
N00006897,Brad,Sherman,CA,D,1.0,0.948382145733,0.947576992754
N00007017,Darrell,Issa,CA,R,4.0,0.915609903382,0.914804750403
N00007021,Juan,Vargas,CA,D,1.0,0.943220703411,0.940995095886
N00007099,Ken,Calvert,CA,R,4.0,0.931051914068,0.930436612502
N00007151,Dana,Rohrabacher,CA,R,0.0,0.852441992388,0.859734116528
N00007232,Lois,Capps,CA,D,1.0,0.930675642292,0.932901249817
N00007248,Devin,Nunes,CA,R,4.0,0.958138907188,0.955913299663
N00007312,Sam,Farr,CA,D,1.0,0.903103727492,0.903908880471
N00007335,Anna,Eshoo,CA,D,0.0,0.955013220978,0.249563113014
N00007360,Nancy,Pelosi,CA,D,1.0,0.8916943438,0.890889190821
N00007364,Dianne,Feinstein,CA,D,2.0,0.907025354254,0.94165445102
N00007419,Mike,Thompson,CA,D,1.0,0.933516551383,0.934321704362
N00007479,Zoe,Lofgren,CA,D,1.0,0.900512141341,0.904348054824
N00007635,Amata,Radewagen,AS,R,2.0,,
N00007690,Greg,Walden,OR,R,4.0,0.938062692139,0.938867845118
N00007724,Ron,Wyden,OR,D,0.0,0.9233671752,0.524684655338
N00007727,Earl,Blumenauer,OR,D,1.0,0.909643308081,0.913479221563
N00007781,Peter,DeFazio,OR,D,2.0,0.846717857927,0.55245274301
N00007833,Adam,Smith,WA,D,1.0,0.772408185112,0.771603032133
N00007836,Maria,Cantwell,WA,D,2.0,0.949146714443,0.929031615904
N00007876,Patty,Murray,WA,D,0.0,0.935519481695,0.566688383372
N00007999,Don,Young,AK,R,0.0,0.86384863124,0.863526570048
N00008028,Sam,Johnson,TX,R,4.0,0.871568950373,0.872374103352
N00008046,Barbara,Lee,CA,D,1.0,0.857937390206,0.861773303689
N00008122,Eddie,Johnson,TX,D,1.0,0.875925239716,0.876730392695
N00008264,Ed,Royce,CA,R,4.0,0.943980109062,0.944785262041
N00008274,Loretta,Sanchez,CA,D,1.0,0.664475369638,0.66286506368
N00008799,Kay,Granger,TX,R,4.0,0.894158981116,0.894964134095
N00009154,Robert,Goodlatte,VA,R,4.0,0.955723448251,0.957949055775
N00009573,Jeff,Flake,AZ,R,0.0,0.822194473098,0.776652731781
N00009585,Adam,Schiff,CA,D,1.0,0.960835712194,0.959840707803
N00009604,Susan,Davis,CA,D,1.0,0.965192001537,0.961356088054
N00009659,David,Vitter,LA,R,0.0,0.782371464249,0.709394284887
N00009660,Steve,Scalise,LA,R,4.0,0.957854130069,0.95704897709
N00009668,Mike,Rogers,AL,R,4.0,0.919639099327,0.917413491802
N00009699,Pat,Tiberi,OH,R,4.0,0.892313076416,0.893118229395
N00009724,Jim,Langevin,RI,D,1.0,0.94246472881,0.940049269873
N00009738,John,Culberson,TX,R,4.0,0.909699348558,0.910504501537
N00009759,Rick,Larsen,WA,D,1.0,0.954682696531,0.954067394964
N00009771,Shelley,Capito,WV,R,0.0,0.883960403207,0.894520151293
N00009774,Xavier,Becerra,CA,D,1.0,0.911633316864,0.912438469843
N00009795,Candice,Miller,MI,R,4.0,0.880418771044,0.879613618065
N00009829,Jim,McDermott,WA,D,1.0,0.91044846106,0.912863919997
N00009869,Orrin,Hatch,UT,R,0.0,0.922009881101,0.904075501746
N00009888,Lamar,Alexander,TN,R,0.0,0.837296632101,0.882956005574
N00009918,Patrick,Leahy,VT,D,0.0,0.939473731835,0.523327361239
N00009920,Richard,Shelby,AL,R,0.0,0.838653926199,0.718777711421
N00009922,Harry,Reid,NV,D,0.0,0.862659934488,0.49972854118
N00009926,Bill,Nelson,FL,D,0.0,0.874106448052,0.568633838247
N00009975,Lindsey,Graham,SC,R,0.0,0.651700237074,0.703024051251
N00012233,Robert,Latta,OH,R,4.0,0.962115493705,0.962920646684
N00012460,William,Clay,MO,D,1.0,0.934033496194,0.934838649173
N00012508,Thomas,Carper,DE,D,0.0,0.884313299672,0.590875364207
N00012539,Mark,Kirk,IL,R,0.0,0.743199956567,0.81086559169
N00012546,Luke,Messer,IN,R,4.0,0.94298510467,0.943790257649
N00012611,Michael,Honda,CA,D,2.0,0.941705323159,0.55817687747
N00012672,Steve,Pearce,NM,R,4.0,0.892548675157,0.893353828136
N00012739,Ander,Crenshaw,FL,R,4.0,0.928966979578,0.928161826599
N00012942,Betty,McCollum,MN,D,1.0,0.963159676475,0.962544374909
N00013323,Sam,Graves,MO,R,4.0,0.885878714683,0.883653107159
N00013345,Steve,Israel,NY,D,1.0,0.932992744474,0.932897818767
N00013770,Bill,Shuster,PA,R,4.0,0.941613828502,0.939388220978
N00013799,J.,Forbes,VA,R,4.0,0.882978334065,0.884398788611
N00013817,Chellie,Pingree,ME,D,0.0,0.955438671132,0.247622282609
N00013820,Chris,Van Hollen,MD,D,1.0,0.951173876446,0.952594330991
N00013846,Jeff,Miller,FL,R,4.0,0.929350113453,0.928544960474
N00013855,Stephen,Lynch,MA,D,2.0,0.924895467355,0.60425701764
N00013873,John,Boozman,AR,R,0.0,0.930506542158,0.833460014116
N00021207,Rick,Nolan,MN,D,2.0,0.88912835249,0.579713615415
N00024753,Mike,Coffman,CO,R,3.0,0.928070331943,0.921678286488
N00024790,Jeanne,Shaheen,NH,D,2.0,0.932334364877,0.949029082288
N00024809,Joe,Wilson,SC,R,4.0,0.964534383692,0.963729230713
N00024842,Joe,Courtney,CT,D,1.0,0.947105795272,0.946300642292
N00024852,John,Cornyn,TX,R,0.0,0.916996941564,0.846146189623
N00024866,Madeleine,Bordallo,GU,D,0.0,,
N00024870,Linda,Sanchez,CA,D,1.0,0.944736083663,0.9471515426
N00024871,David,Scott,GA,D,4.0,0.881941013395,0.295734747841
N00024922,Jeb,Hensarling,TX,R,4.0,0.961830716586,0.964056324111
N00024978,Henry,Cuellar,TX,D,4.0,0.740876839043,0.45717020751
N00024992,Tim,Murphy,PA,R,4.0,0.939813671132,0.937588063607
N00025095,John,Carter,TX,R,4.0,0.899919484702,0.902173913043
N00025175,Michael,Turner,OH,R,4.0,0.871572381423,0.869346773898
N00025219,Michael,Burgess,TX,R,4.0,0.910121367662,0.912346975187
N00025237,Steve,King,IA,R,0.0,0.914664077368,0.90576164727
N00025280,Tim,Ryan,OH,D,1.0,0.908655165788,0.907660161397
N00025284,Raul,Grijalva,AZ,D,1.0,0.854664168863,0.858500082345
N00025292,Rob,Bishop,UT,R,4.0,0.912867351047,0.913482652613
N00025337,Mario,Diaz-Balart,FL,R,4.0,0.895582866711,0.894777713732
N00025482,C.A. Dutch,Ruppersberger,MD,D,1.0,0.883937884278,0.881712276753
N00025495,Lou,Barletta,PA,R,4.0,0.878867936613,0.876642329088
N00025726,Tom,Cole,OK,R,4.0,0.930390865173,0.928165257649
N00025881,Colleen,Hanabusa,HI,D,2.0,1.0,0.744680851064
N00026041,K.,Conaway,TX,R,4.0,0.968936420363,0.969551721929
N00026043,Randy,Neugebauer,TX,R,4.0,0.95780838274,0.95861353572
N00026050,Lisa,Murkowski,AK,R,0.0,0.786208082234,0.823316502887
N00026106,Debbie,Wasserman Schultz,FL,D,2.0,0.894876070487,0.544211361806
N00026148,Louie,Gohmert,TX,R,0.0,0.862483530962,0.863193758235
N00026160,Tom,Price,GA,R,4.0,0.91173167362,0.913957281145
N00026163,Lynn,Westmoreland,GA,R,4.0,0.765432861221,0.766048162787
N00026166,Virginia,Foxx,NC,R,4.0,0.920489999634,0.920395073928
N00026171,Charlie,Dent,PA,R,4.0,0.890611275801,0.889806122822
N00026314,Cathy,McMorris Rodgers,WA,R,4.0,0.965480209706,0.963254602181
N00026335,Daniel,Webster,FL,R,4.0,0.905381944444,0.906187097424
N00026341,Jim,Costa,CA,D,1.0,0.735882058971,0.733640124382
N00026368,Tim,Walberg,MI,R,4.0,0.961739221929,0.959513614405
N00026457,Ted,Poe,TX,R,4.0,0.770640050871,0.77144520385
N00026460,Michael,McCaul,TX,R,4.0,0.950133124726,0.949327971746
N00026586,Joe,Donnelly,IN,D,0.0,0.781665671318,0.741779322077
N00026595,Charles,Boustany Jr.,LA,R,4.0,0.946726092446,0.94611079088
N00026627,Patrick,McHenry,NC,R,4.0,0.969836499048,0.969031346069
N00026631,Jeff,Fortenberry,NE,R,4.0,0.910311219075,0.910926520641
N00026686,Al,Green,TX,D,1.0,0.908416135998,0.910831594935
N00026710,Kenny,Marchant,TX,R,4.0,0.887721188333,0.888526341312
N00026790,Emanuel,Cleaver II,MO,D,1.0,0.873375969843,0.874181122822
N00026885,Dave,Reichert,WA,R,4.0,0.841690226541,0.841074924974
N00026914,Gwen,Moore,WI,D,1.0,0.882746166374,0.883551319353
N00026926,Jerry,McNerney,CA,D,1.0,0.947626171132,0.946821018153
N00026961,Yvette,Clarke,NY,D,1.0,0.932141844166,0.935977757649
N00027035,G.,Butterfield,NC,D,1.0,0.921056122822,0.920250969843
N00027060,Brian,Higgins,NY,D,1.0,0.954206492367,0.951791033429
N00027229,Michael,Fitzpatrick,PA,R,2.0,0.812236952862,0.719654653418
N00027239,Daniel,Lipinski,IL,D,1.0,0.842924260723,0.840698653199
N00027441,Bob,Corker,TN,R,2.0,0.875699006461,0.492887778924
N00027459,Doris,Matsui,CA,D,1.0,0.969077093398,0.969882246377
N00027462,Gus,Bilirakis,FL,R,4.0,0.957903308447,0.960128915971
N00027467,Tim,Walz,MN,D,1.0,0.916228635998,0.912392722515
N00027500,Amy,Klobuchar,MN,D,0.0,0.923014278734,0.598838156252
N00027503,Bob,Casey,PA,D,0.0,0.920299690537,0.586568217601
N00027509,Scott,Tipton,CO,R,4.0,0.939152622237,0.939957775216
N00027510,Ed,Perlmutter,CO,D,1.0,0.901503714683,0.902308867662
N00027514,Kathy,Castor,FL,D,1.0,0.933513120334,0.932707967355
N00027522,Dean,Heller,NV,R,0.0,0.787683008488,0.744502958901
N00027523,Albio,Sires,NJ,D,1.0,0.87999675194,0.879381450373
N00027533,Sheldon,Whitehouse,RI,D,2.0,0.947083627414,0.903840237436
N00027566,Christopher,Murphy,CT,D,0.0,0.954811155148,0.549106900483
N00027594,Patrick,Murphy,FL,D,2.0,0.886873719075,0.633000064046
N00027605,Jon,Tester,MT,D,0.0,0.894755415603,0.609162640028
N00027623,Adrian,Smith,NE,R,4.0,0.963490200922,0.965715808447
N00027626,Vern,Buchanan,FL,R,4.0,0.870102748499,0.86929759552
N00027649,Tim,Huelskamp,KS,R,0.0,0.885875283633,0.892126656053
N00027658,Kirsten,Gillibrand,NY,D,0.0,0.940713393778,0.500615306658
N00027694,Claire,McCaskill,MO,D,0.0,0.822782633874,0.618781330872
N00027741,Dave,Loebsack,IA,D,2.0,0.951746861733,0.608233604158
N00027751,John,Sarbanes,MD,D,2.0,0.958518610013,0.580861833919
