,FirstName,LastName,State,Party,Cluster,VotesWParty,VotesWCluster
N00027848,Hank,Johnson,GA,D,1.0,0.937018509369,0.937633810935
N00027860,Tammy,Duckworth,IL,D,1.0,0.827626354121,0.823790440638
N00027894,Jim,Jordan,OH,R,4.0,0.905244702459,0.906049855438
N00028073,John,Yarmuth,KY,D,1.0,0.902020659493,0.902825812473
N00028133,Doug,Lamborn,CO,R,4.0,0.940949348558,0.941754501537
N00028138,Brian,Schatz,HI,D,2.0,0.954811155148,0.89929782652
N00028139,Mazie,Hirono,HI,D,0.0,0.971035343938,0.540022078651
N00028152,Kevin,McCarthy,CA,R,4.0,0.953733439467,0.954348741034
N00028249,Donna,Edwards,MD,D,1.0,0.943551227858,0.945161533816
N00028257,Keith,Ellison,MN,D,1.0,0.919920445396,0.922335904333
N00028418,Alan,Grayson,FL,D,1.0,0.909741664837,0.910356966403
N00028463,Phil,Roe,TN,R,2.0,0.891047019104,0.598290422339
N00028692,Christopher,Smith,NJ,R,,0.88075958864,
N00028958,Jason,Chaffetz,UT,R,4.0,0.908841586151,0.911067193676
N00029016,Al,Franken,MN,D,2.0,0.922896646579,0.879888520911
N00029018,Tom,Rooney,FL,R,4.0,0.892074046626,0.892879199605
N00029026,Niki,Tsongas,MA,D,1.0,0.938867845118,0.939483146684
N00029070,Jim,Himes,CT,D,4.0,0.94090017018,0.282852300176
N00029077,Lynn,Jenkins,KS,R,4.0,0.934508124726,0.935313277705
N00029127,Jared,Polis,CO,D,2.0,0.912582573928,0.5597414361
N00029139,Bill,Foster,IL,D,1.0,0.955723448251,0.953497840726
N00029147,Andy,Harris,MD,R,4.0,0.922339335383,0.924564942907
N00029168,Pedro,Pierluisi,PR,D,2.0,,
N00029258,Duncan,Hunter,CA,R,4.0,0.940049269873,0.939244116894
N00029260,Ann,Kirkpatrick,AZ,D,2.0,0.794235379154,0.592123682477
N00029273,Aaron,Schock,IL,R,4.0,0.791666666667,0.791666666667
N00029277,Gary,Peters,MI,D,2.0,0.933456394665,0.928262482581
N00029285,Pete,Olson,TX,R,4.0,0.958993238545,0.958188085566
N00029303,Jeff,Merkley,OR,D,2.0,0.913458928281,0.840246484608
N00029391,Erik,Paulsen,MN,R,4.0,0.924705615942,0.925510768921
N00029400,Michelle,Lujan Grisham,NM,D,1.0,0.910265471746,0.910975699019
N00029404,Lee,Zeldin,NY,R,3.0,0.922339335383,0.937633810935
N00029441,Jim,Risch,ID,R,4.0,0.887027887869,0.0
N00029459,Robert,Wittman,VA,R,4.0,0.946395567999,0.948621175523
N00029513,Andr’©,Carson,IN,D,1.0,0.950512827551,0.952123133509
N00029562,Ben,Lujan,NM,D,1.0,0.952738435075,0.951933282096
N00029574,Steve,Stivers,OH,R,4.0,0.889285746962,0.888480593983
N00029580,Daniel,Donovan,NY,R,,0.86994469523,
N00029632,Gregg,Harper,MS,R,4.0,0.936543880837,0.935928579271
N00029649,Jackie,Speier,CA,D,1.0,0.883649676109,0.885875283633
N00029662,Bill,Posey,FL,R,4.0,0.92631935295,0.928544960474
N00029675,Brett,Guthrie,KY,R,4.0,0.967941415971,0.970167023496
N00029679,John,Fleming,LA,R,4.0,0.924139492754,0.924944645733
N00029736,Glenn,Thompson,PA,R,4.0,0.926888907188,0.924663299663
N00029788,Cynthia,Lummis,WY,R,4.0,0.905293880837,0.905909182404
N00029835,Martin,Heinrich,NM,D,0.0,0.950268744232,0.564209059486
N00029891,Gerald,Connolly,VA,D,1.0,0.944075034768,0.943269881789
N00030026,Blaine,Luetkemeyer,MO,R,4.0,0.950136555775,0.950941708754
N00030071,Kurt,Schrader,OR,D,1.0,0.80603475882,0.806839911799
N00030184,Cedric,Richmond,LA,D,1.0,0.897193172669,0.897998325648
N00030191,Dina,Titus,NV,D,1.0,0.906612547577,0.907227849144
N00030196,Paul,Tonko,NY,D,1.0,0.955011645346,0.957247413489
N00030197,Richard,Hanna,NY,R,0.0,0.75815103023,0.760376637754
N00030245,Bill,Cassidy,LA,R,2.0,0.916879309409,0.504506216407
N00030418,Gregorio &#39;Kilili&#39;,Sablan,MP,I,2.0,,
N00030490,Marcia,Fudge,OH,D,1.0,0.935552307495,0.936357460474
N00030581,Mike,Quigley,IL,D,1.0,0.944690336334,0.940854422852
N00030600,Judy,Chu,CA,D,1.0,0.939289864222,0.941705323159
N00030602,Roger,Williams,TX,R,4.0,0.907424562656,0.908039864222
N00030608,Michael,Bennet,CO,D,0.0,0.914752881988,0.640724252131
N00030612,Marco,Rubio,FL,R,0.0,0.637068606692,0.572823352697
N00030622,Terri,Sewell,AL,D,4.0,0.859357844752,0.276650106134
N00030645,Dennis,Ross,FL,R,4.0,0.949046625677,0.949661927243
N00030650,Frederica,Wilson,FL,D,1.0,0.887953356024,0.887338054458
N00030667,Adam,Kinzinger,IL,R,4.0,0.904203950739,0.905009103718
N00030670,Todd,Young,IN,R,4.0,0.92475479432,0.925559947299
N00030673,Bill,Huizenga,MI,R,4.0,0.916794759186,0.915989606207
N00030676,Billy,Long,MO,R,4.0,0.928499213146,0.929304366125
N00030693,Suzan,DelBene,WA,D,1.0,0.959889886181,0.957474427243
N00030709,Mark,DeSaulnier,CA,D,1.0,0.965761555775,0.966376857342
N00030717,Ami,Bera,CA,D,2.0,0.905293880837,0.644507804494
N00030736,John,Carney,DE,D,4.0,0.92475136327,0.265901771337
N00030744,Mike,Pompeo,KS,R,0.0,0.931333260138,0.928587276753
N00030752,Jeffrey,Duncan,SC,R,4.0,0.904629400893,0.903824247914
N00030768,Martha,Roby,AL,R,4.0,0.937060825648,0.934835218123
N00030770,Rick,Crawford,AR,R,4.0,0.929680637901,0.927455030376
N00030771,Paul,Gosar,AZ,R,0.0,0.877827184892,0.877401734739
N00030780,Cory,Gardner,CO,R,2.0,0.885670593771,0.541379372749
N00030788,Tom,Graves,GA,R,4.0,0.929065336334,0.931290943859
N00030801,Frank,Guinta,NH,R,3.0,0.931997740082,0.935548876446
N00030815,Chuck,Fleischmann,TN,R,4.0,0.961834147636,0.962449449202
N00030829,Ken,Buck,CO,R,0.0,0.866797504026,0.876600012809
N00030836,Rand,Paul,KY,R,2.0,0.709104728813,0.366758962665
N00030856,John,Garamendi,CA,D,1.0,0.91173167362,0.909506066096
N00030875,Ann,Kuster,NH,D,2.0,0.944595410628,0.616000356829
N00030880,Trey,Gowdy,SC,R,4.0,0.925817121469,0.926434443597
N00030891,Marlin,Stutzman,IN,R,4.0,0.877106664471,0.87791181745
N00030910,Mo,Brooks,AL,R,4.0,0.892502927829,0.890277320304
N00030949,Tom,Reed,NY,R,2.0,0.902829243522,0.703361742424
N00030957,Scott,DesJarlais,TN,R,2.0,0.888192385815,0.563760338896
N00030962,Scott,Rigell,VA,R,0.0,0.914667508418,0.916087962963
N00030967,Sean,Duffy,WI,R,4.0,0.897474518738,0.898089820304
N00030968,Reid,Ribble,WI,R,4.0,0.900318858879,0.899703557312
N00030980,Kelly,Ayotte,NH,R,0.0,0.79075049315,0.861483612936
N00031005,Vicky,Hartzler,MO,R,4.0,0.960839143244,0.95861353572
N00031006,Alan,Nunnelee,MS,R,4.0,0.0,0.0
N00031064,Ryan,Costello,PA,R,2.0,0.845575318401,0.753942276021
N00031103,Robert,Dold,IL,R,3.0,0.786999295491,0.825970300834
N00031104,Randy,Hultgren,IL,R,4.0,0.947295646684,0.948100799663
N00031127,Jim,Renacci,OH,R,4.0,0.923049562656,0.922244409676
N00031128,Bob,Gibbs,OH,R,4.0,0.958708461426,0.959513614405
N00031129,James,Lankford,OK,R,2.0,0.871219935936,0.454186799862
N00031134,Pat,Meehan,PA,R,4.0,0.875882923437,0.875077770458
N00031141,Stephen,Fincher,TN,R,4.0,0.687765334504,0.687765334504
N00031177,Mark,Amodei,NV,R,4.0,0.888670445396,0.887865292417
N00031226,Jackie,Walorski,IN,R,4.0,0.966380288391,0.964154680867
N00031227,Larry,Bucshon,IN,R,4.0,0.938772919412,0.937967766432
N00031233,Andy,Barr,KY,R,0.0,0.959608540111,0.959418688699
N00031244,Joe,Heck,NV,R,2.0,0.868400947885,0.660649749305
N00031253,Keith,Rothfus,PA,R,4.0,0.957618531328,0.958423684307
N00031265,Robert,Hurt,VA,R,4.0,0.92266985983,0.923285161397
N00031317,Ted,Deutch,FL,D,1.0,0.920447683355,0.921062984922
N00031377,Ra’_l,Labrador,ID,R,4.0,0.873847167325,0.874652320304
N00031401,Mike,Grimm,NY,R,3.0,,
N00031412,Mick,Mulvaney,SC,R,4.0,0.853391249451,0.85419640243
N00031417,Will,Hurd,TX,R,3.0,0.959749213146,0.963869903748
N00031502,Kevin,Yoder,KS,R,4.0,0.933470804055,0.93569641158
N00031513,Renee,Ellmers,NC,R,4.0,0.849882429366,0.849077276387
N00031539,Diane,Black,TN,R,4.0,0.921576498682,0.922381651662
N00031545,Bill,Flores,TX,R,4.0,0.943790257649,0.946015865173
N00031557,Denny,Heck,WA,D,1.0,0.960789964866,0.959984811887
N00031559,Jaime,Herrera Beutler,WA,R,4.0,0.693784539233,0.693784539233
N00031593,Jeffrey,Denham,CA,R,4.0,0.89975273569,0.898947582711
N00031596,Warren,Davidson,OH,R,,0.92899408284,
N00031647,Mike,Kelly,PA,R,4.0,0.944359811887,0.945164964866
N00031672,Blake,Farenthold,TX,R,4.0,0.931716394013,0.933942001537
N00031681,David,McKinley,WV,R,4.0,0.916281245425,0.916896546992
N00031685,Richard,Blumenthal,CT,D,0.0,0.966728197332,0.568869102557
N00031688,John,Hoeven,ND,R,0.0,0.907676855421,0.867618582261
N00031696,Mike,Lee,UT,R,2.0,0.650351991603,0.311661870894
N00031741,Todd,Rokita,IN,R,4.0,0.92266985983,0.923285161397
N00031777,Tom,Marino,PA,R,4.0,0.888899182038,0.886673574513
N00031782,Tim,Scott,SC,R,4.0,0.865555495231,0.0
N00031820,Christopher,Coons,DE,D,1.0,0.928144850426,0.920299690537
N00031857,Steve,Womack,AR,R,4.0,0.961739221929,0.962544374909
N00031877,Karen,Bass,CA,D,1.0,0.862525847241,0.862525847241
N00031933,Bill,Keating,MA,D,1.0,0.930011162348,0.929916236642
N00031934,Dan,Benishek,MI,R,3.0,0.925514199971,0.930721389621
N00031938,Justin,Amash,MI,R,2.0,0.756547586371,0.546240255819
N00031958,Steven,Palazzo,MS,R,4.0,0.901876555409,0.90107140243
N00031998,Chris,Gibson,NY,R,2.0,0.767918084834,0.752047192944
N00032019,David,Cicilline,RI,D,1.0,0.95716540339,0.957782725517
N00032022,Kristi,Noem,SD,R,4.0,0.932426621285,0.931621468306
N00032029,Morgan,Griffith,VA,R,4.0,0.892270760138,0.894496367662
N00032088,Bill,Johnson,OH,R,4.0,0.957903308447,0.955677700922
N00032243,Jody,Hice,GA,R,0.0,0.926460025984,0.930911241034
N00032416,Rob,Woodall,GA,R,4.0,0.928450034768,0.929065336334
N00032441,Richard,Nugent,FL,R,4.0,0.801524072244,0.802139373811
N00032457,Austin,Scott,GA,R,4.0,0.95548784951,0.956293002489
N00032546,Ron,Johnson,WI,R,0.0,0.901894782561,0.836708471325
N00032838,Joe,Manchin III,WV,D,0.0,0.70231825832,0.724496443889
N00033030,Jared,Huffman,CA,D,1.0,0.942700327551,0.945115786488
N00033054,Steve,Daines,MT,R,0.0,0.903722605281,0.793935609968
N00033085,Ted,Cruz,TX,R,2.0,0.499918562354,0.235146678249
N00033106,Ann,Wagner,MO,R,4.0,0.903873426292,0.905388806544
N00033177,Tim,Kaine,VA,D,2.0,0.882367844798,0.901424253941
N00033217,Elizabeth,Esty,CT,D,1.0,0.958043981481,0.955628522544
N00033220,Ted,Yoho,FL,R,4.0,0.902973347606,0.902168194627
N00033274,Alan,Lowenthal,CA,D,1.0,0.965336105621,0.964530952642
N00033281,Tulsi,Gabbard,HI,D,1.0,0.938059261089,0.940284868614
N00033310,Brad,Wenstrup,OH,R,4.0,0.945115786488,0.947341394013
N00033316,Joaqu’_n,Castro,TX,D,4.0,0.90655993815,0.24681369858
N00033363,Tom,Cotton,AR,R,2.0,0.879065095825,0.407523028757
N00033367,David,Valadao,CA,R,2.0,0.918883124726,0.703790623628
N00033373,Tony,Cardenas,CA,D,1.0,0.883076690821,0.882271537842
N00033390,Cheri,Bustos,IL,D,0.0,0.925370095886,0.312400499561
N00033395,Dan,Kildee,MI,D,1.0,0.952126564559,0.95312156895
N00033399,George,Holding,NC,R,4.0,0.946065043551,0.946870196531
N00033410,Markwayne,Mullin,OK,R,4.0,0.966046332894,0.965431031328
N00033443,Deb,Fischer,NE,R,0.0,0.948676185823,0.823904663663
N00033474,Suzanne,Bonamici,OR,D,1.0,0.945112355438,0.947337962963
N00033492,Elizabeth,Warren,MA,D,2.0,0.924136308522,0.841839043017
N00033495,Susan,Brooks,IN,R,4.0,0.94246472881,0.943269881789
N00033508,Eric,Swalwell,CA,D,1.0,0.924086883326,0.923091878934
N00033510,Raul,Ruiz,CA,D,0.0,0.898856088054,0.297534905212
N00033518,Doug,Collins,GA,R,4.0,0.931906245425,0.932711398404
N00033527,David,Rouzer,NC,R,0.0,0.95728800688,0.953026643244
N00033532,Jim,Bridenstine,OK,R,0.0,0.930767136949,0.937018509369
N00033539,Randy,Weber,TX,R,0.0,0.930201013761,0.934462377397
N00033540,Beto,O'Rourke,TX,D,1.0,0.918594916557,0.917789763578
N00033549,Mark,Pocan,WI,D,1.0,0.953068959523,0.954063963915
N00033591,Scott,Peters,CA,D,2.0,0.874416721563,0.662266917362
N00033630,Richard,Hudson,NC,R,4.0,0.886968644781,0.889194252306
N00033631,Mark,Meadows,NC,R,4.0,0.940428972698,0.941234125677
N00033640,Hakeem,Jeffries,NY,D,1.0,0.945161533816,0.94454623225
N00033720,Rick,Allen,GA,R,3.0,0.96173579088,0.930056909676
N00033744,Rod,Blum,IA,R,3.0,0.913436905285,0.901693566096
N00033782,Heidi,Heitkamp,ND,D,0.0,0.781783303473,0.724614076045
N00033814,Alex,Mooney,WV,R,3.0,0.923903894013,0.901978343215
N00033832,Tom,Rice,SC,R,4.0,0.926790550432,0.926175248865
N00033839,Marc,Veasey,TX,D,1.0,0.920630672669,0.920015371102
N00033842,Mia,Love,UT,R,0.0,0.93725410811,0.947056616894
N00033897,John,Delaney,MD,D,1.0,0.868633115576,0.867022809618
N00033904,Joyce,Beatty,OH,D,1.0,0.959415257649,0.95861010467
N00033932,Chris,Stewart,UT,R,4.0,0.939767923803,0.941993531328
N00033982,Martha,McSally,AZ,R,3.0,0.926744803103,0.939388220978
N00033983,Kyrsten,Sinema,AZ,D,2.0,0.743432971014,0.720322564412
N00033987,Doug,LaMalfa,CA,R,4.0,0.942179951691,0.942795253257
N00033997,Pete,Aguilar,CA,D,0.0,0.879817193676,0.301655595813
N00034041,Thomas,Massie,KY,R,0.0,0.794193062875,0.804895650344
N00034044,Joseph,Kennedy III,MA,D,1.0,0.924322482067,0.926548089592
N00034068,Brenda,Lawrence,MI,D,2.0,0.958043981481,0.583892594422
N00034120,Scott,Perry,PA,R,4.0,0.910785847606,0.911591000586
N00034128,Matt,Cartwright,PA,D,1.0,0.944975113453,0.945780266432
N00034224,Paul,Cook,CA,R,1.0,0.949092373005,0.273570167252
N00034254,Julia,Brownley,CA,D,2.0,0.921818959523,0.640482039599
N00034277,Sean,Maloney,NY,D,1.0,0.885167216106,0.881321142004
N00034349,Filemon,Vela,TX,D,1.0,0.866787210877,0.864561603352
N00034416,Robert,Pittenger,NC,R,4.0,0.936593059215,0.937208360782
N00034453,Derek,Kilmer,WA,D,1.0,0.947010869565,0.944595410628
N00034547,Grace,Meng,NY,D,1.0,0.928628199014,0.927823046035
N00034580,Angus,King,ME,I,2.0,0.87729156487,0.901360913549
N00034584,Bruce,Poliquin,ME,R,2.0,0.906756651662,0.694511921754
N00034639,Donald,Payne Jr.,NJ,D,1.0,0.786197573562,0.787002726541
N00034746,Ron,DeSantis,FL,R,4.0,0.923429265481,0.92423441846
N00034784,Rodney,Davis,IL,R,3.0,0.890519781145,0.918788199019
N00035000,Stacey,Plaskett,VI,D,2.0,,
N00035007,Dave,Joyce,OH,R,0.0,0.887155065144,0.887865292417
N00035187,Mike,Rounds,SD,R,2.0,0.906319561323,0.518549686013
N00035215,Robin,Kelly,IL,D,2.0,0.89326233348,0.551644158981
N00035267,Cory,Booker,NJ,D,2.0,0.93935609968,0.858533760429
N00035278,Katherine,Clark,MA,D,2.0,0.95652860123,0.569308346143
N00035282,Jason,Smith,MO,R,4.0,0.953026643244,0.955252250769
N00035307,Brendan,Boyle,PA,D,1.0,0.907329636949,0.908039864222
N00035311,Mark,Walker,NC,R,2.0,0.933038491802,0.616468123262
N00035346,Buddy,Carter,GA,R,2.0,0.944215707803,0.634698433611
N00035347,Barry,Loudermilk,GA,R,0.0,0.927075327551,0.933467373005
N00035380,Bradley,Byrne,AL,R,0.0,0.940049269873,0.937018509369
N00035391,Mimi,Walters,CA,R,4.0,0.915845502123,0.916650655102
N00035403,Carlos,Curbelo,FL,R,3.0,0.800869885449,0.837900060386
N00035420,Mike,Bost,IL,R,3.0,0.883315720612,0.901451105255
N00035431,Seth,Moulton,MA,D,3.0,0.944641157956,0.310839371981
N00035440,Tom,Emmer,MN,R,0.0,0.926600699019,0.934272525984
N00035451,Alma,Adams,NC,D,2.0,0.908324641341,0.551693337359
N00035483,Joni,Ernst,IA,R,2.0,0.936523879328,0.482680927303
N00035492,Thom,Tillis,NC,R,2.0,0.918354235662,0.515952729971
N00035509,David,Young,IA,R,3.0,0.9505162586,0.95624725516
N00035516,David,Perdue,GA,R,2.0,0.864967334455,0.420326836419
N00035523,Elise,Stefanik,NY,R,2.0,0.889521345703,0.735423757503
N00035527,Bruce,Westerman,AR,R,3.0,0.976843846069,0.951226485873
N00035531,Evan,Jenkins,WV,R,3.0,0.920827386181,0.943413985873
N00035535,Mark,Takai,HI,D,3.0,0.579578211359,0.175686701925
N00035544,Ben,Sasse,NE,R,2.0,0.813643520278,0.363456213692
N00035607,Dave,Trott,MI,R,2.0,0.94923647709,0.664580588494
N00035616,Ryan,Zinke,MT,R,2.0,0.918879693676,0.64956745901
N00035628,Cresent,Hardy,NV,R,3.0,0.929912805592,0.937489706851
N00035682,John,Lewis,GA,D,1.0,0.887344916557,0.89118083004
N00035688,Gwen,Graham,FL,D,2.0,0.872904772361,0.679358119236
N00035691,Gary,Palmer,AL,R,0.0,0.941184947299,0.938154186795
N00035717,David,Jolly,FL,R,3.0,0.829373902064,0.858401725589
N00035774,Dan,Sullivan,AK,R,2.0,0.890095372532,0.467578768301
N00035792,French,Hill,AR,R,3.0,0.955533596838,0.947910948251
N00035820,Steve,Knight,CA,R,2.0,0.950231481481,0.651747319207
N00035825,Ted,Lieu,CA,D,1.0,0.859867927463,0.860673080442
N00035854,Curt,Clawson,FL,R,2.0,0.838237446933,0.572050898478
N00035927,Kathleen,Rice,NY,D,1.0,0.888146638486,0.887341485507
N00035934,John,Katko,NY,R,3.0,0.84898578173,0.87763390243
N00035972,John,Ratcliffe,TX,R,2.0,0.939388220978,0.62248389694
N00036013,David,Brat,VA,R,2.0,0.89534383692,0.581234674645
N00036018,Donald,Beyer,VA,D,1.0,0.923661433172,0.921435825648
N00036023,Barbara,Comstock,VA,R,3.0,0.927170253257,0.948336398404
N00036097,Ruben,Gallego,AZ,D,2.0,0.970687399356,0.579205780632
N00036107,Norma,Torres,CA,D,1.0,0.946961691187,0.946156538208
N00036135,Garret,Graves,LA,R,0.0,0.947056616894,0.947056616894
N00036149,Debbie,Dingell,MI,D,1.0,0.95132141158,0.949095804055
N00036154,Donald,Norcross,NJ,D,2.0,0.923380087103,0.615522297248
N00036155,Tom,MacArthur,NJ,R,3.0,0.878013605255,0.907041428781
N00036158,Bonnie,Watson Coleman,NJ,D,1.0,0.94611079088,0.948336398404
N00036175,Steve,Russell,OK,R,2.0,0.939100012809,0.640003980018
N00036275,John,Moolenaar,MI,R,0.0,0.955772626629,0.946680345118
N00036403,Dan,Newhouse,WA,R,0.0,0.94142397709,0.94246472881
N00036409,Glenn,Grothman,WI,R,0.0,0.929582281145,0.941325620334
N00036445,James,Comer,KY,R,,0.978723404255,
N00036449,Mike,Bishop,MI,R,4.0,0.953736870517,0.951511262992
N00036633,Ralph,Abraham,LA,R,2.0,0.970641652028,0.646350278144
N00037003,Trent,Kelly,MS,R,,0.931671790367,
N00037031,Darin,LaHood,IL,R,,0.965459711384,
